province;product_types;currency;product_group_id;product_line;value;date
ŁÓDŹ;apple juice, boxed - per 1l;PLN;1.0;;2.04;2008-10
OPOLE;;PLN;2.0;Italian head cheese - per 1kg;11.05;2014-11
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;4.26;2007-9
MASOVIA;;PLN;2.0;dressed chickens - per 1kg;4.28;2003-4
LOWER SILESIA;;PLN;4.0;bread - per 1kg;;2004-6
LOWER SILESIA;;PLN;4.0;bread - per 1kg;;2003-10
GREATER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.56;2015-11
POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.79;2018-10
LUBUSZ;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2017-12
POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;1999-5
LESSER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.3;2016-4
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.81;2010-3
POMERANIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.34;2019-6
POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.98;2017-3
LOWER SILESIA;;PLN;2.0;pork ham cooked - per 1kg;18.03;2004-5
LUBUSZ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.87;2000-2
LESSER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.64;2007-2
SUBCARPATHIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;13.92;2017-4
LESSER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.17;2012-5
WEST POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;5.82;1999-3
MASOVIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.16;2009-9
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;17.73;2015-6
WARMIA-MASURIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.51;2001-3
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;16.73;2016-12
WARMIA-MASURIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2008-3
HOLY CROSS;;PLN;4.0;Masurian barley groats - per 1kg;1.5;2001-12
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;2.5;2003-3
ŁÓDŹ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.52;2004-10
HOLY CROSS;white table salt bagged - per 1kg;PLN;3.0;;0.0;2013-9
ŁÓDŹ;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2019-8
SUBCARPATHIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.09;2014-7
LUBLIN;;PLN;4.0;bread - per 1kg;;2016-9
SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;15.42;2011-9
PODLASKIE;;PLN;2.0;dressed chickens - per 1kg;4.64;2004-12
SILESIA;;PLN;2.0;barley groats sausage - per 1kg;5.66;2008-9
SILESIA;;PLN;2.0;dressed chickens - per 1kg;5.75;2008-2
KUYAVIA-POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;11.1;2017-6
LESSER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;13.2;2009-11
POLAND;;PLN;2.0;pork ham cooked - per 1kg;17.84;2012-11
OPOLE;;PLN;4.0;bread - per 1kg;;2015-9
MASOVIA;;PLN;2.0;Hunter's sausage dried - per 1kg;18.14;2003-5
LOWER SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;7.25;2005-8
SUBCARPATHIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;14.09;2004-6
KUYAVIA-POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2015-3
OPOLE;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.55;2001-1
OPOLE;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2018-7
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;23.39;2016-11
PODLASKIE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2003-2
LOWER SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.61;2007-12
HOLY CROSS;;PLN;4.0;Masurian barley groats - per 1kg;1.48;2010-2
OPOLE;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-6
LUBLIN;;PLN;2.0;boneless beef (sirloin) - per 1kg;28.2;2011-5
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2019-7
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;18.65;2012-5
MASOVIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;4.02;2009-4
POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.02;2018-12
HOLY CROSS;;PLN;2.0;salted herring, non-dressed - per 1kg;0.67;2004-4
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.68;2005-4
LESSER POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.52;2000-1
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;22.37;2011-9
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2006-4
LOWER SILESIA;;PLN;2.0;pork belly cooked - per 1kg;15.37;2010-2
POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2006-3
HOLY CROSS;apple juice, boxed - per 1l;PLN;1.0;;0.0;2014-2
HOLY CROSS;;PLN;2.0;pork belly cooked - per 1kg;15.23;2001-8
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2013-1
LUBUSZ;;PLN;2.0;pork belly cooked - per 1kg;15.01;2005-12
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.87;2017-8
LESSER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2007-7
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;10.72;2003-1
OPOLE;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2011-11
POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.89;2017-6
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.07;2008-11
LOWER SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2015-4
OPOLE;;PLN;2.0;pork ham cooked - per 1kg;17.81;2002-1
ŁÓDŹ;;PLN;2.0;smoked bacon with ribs - per 1kg;11.54;2004-12
MASOVIA;;PLN;2.0;pork ham cooked - per 1kg;16.05;1999-4
LUBUSZ;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2006-4
LOWER SILESIA;;PLN;2.0;Hunter's sausage dried - per 1kg;24.85;2019-4
LESSER POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.17;2014-10
KUYAVIA-POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.59;2012-12
WARMIA-MASURIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.06;2019-8
MASOVIA;natural chocolate plain - per 1kg;PLN;3.0;;17.76;2004-6
GREATER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;14.11;2018-11
POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;1.78;2000-10
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;20.58;2018-6
SUBCARPATHIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;16.62;2006-2
SILESIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;23.23;2009-7
POMERANIA;;PLN;4.0;bread - per 1kg;;2019-6
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;8.53;2010-2
LUBUSZ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.88;2000-2
SUBCARPATHIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.75;2013-4
SUBCARPATHIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.31;2003-11
KUYAVIA-POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;9.89;2011-5
MASOVIA;;PLN;2.0;Hunter's sausage dried - per 1kg;22.1;2008-8
WARMIA-MASURIA;;PLN;2.0;dressed chickens - per 1kg;6.32;2018-3
LESSER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2010-9
LUBLIN;;PLN;2.0;Italian head cheese - per 1kg;10.16;2012-10
POMERANIA;;PLN;2.0;smoked bacon with ribs - per 1kg;12.13;2010-11
LUBLIN;;PLN;2.0;salted herring, non-dressed - per 1kg;10.52;2018-7
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;3.99;1999-4
OPOLE;;PLN;4.0;bread - per 1kg;;2010-11
MASOVIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.5;2004-9
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.55;2002-11
LOWER SILESIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;16.76;2004-1
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2013-6
LOWER SILESIA;;PLN;2.0;Italian head cheese - per 1kg;6.09;2004-9
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.54;2015-9
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2004-10
WARMIA-MASURIA;;PLN;2.0;haddock fillets frozen - per 1kg;16.33;2013-11
HOLY CROSS;beet sugar white, bagged - per 1kg;PLN;3.0;;2.05;2002-10
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;12.86;2003-8
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;4.4;2013-8
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2013-9
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2017-8
LUBLIN;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.95;2013-6
HOLY CROSS;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2004-6
ŁÓDŹ;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2002-7
SILESIA;;PLN;2.0;smoked bacon with ribs - per 1kg;19.27;2018-5
KUYAVIA-POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.82;2015-5
SILESIA;apple juice, boxed - per 1l;PLN;1.0;;1.21;2009-8
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.89;2011-8
MASOVIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2017-11
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2004-6
PODLASKIE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;2.66;2003-5
SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.51;2006-6
LUBLIN;;PLN;2.0;haddock fillets frozen - per 1kg;14.24;2012-7
PODLASKIE;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.19;2010-1
GREATER POLAND;apple juice, boxed - per 1l;PLN;1.0;;0.0;2003-2
WEST POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;13.44;2009-4
LUBUSZ;;PLN;2.0;fresh non-dressed trout - per 1kg;9.47;2007-10
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2008-1
ŁÓDŹ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.17;2011-1
PODLASKIE;;PLN;2.0;salted herring, non-dressed - per 1kg;5.61;2008-11
GREATER POLAND;;PLN;4.0;bread - per 1kg;;2002-4
SILESIA;30% tomato concentrate - per 1kg;PLN;1.0;;5.75;2002-9
OPOLE;apple juice, boxed - per 1l;PLN;1.0;;0.0;2011-12
PODLASKIE;apple juice, boxed - per 1l;PLN;1.0;;0.0;2012-12
WARMIA-MASURIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.56;2010-1
KUYAVIA-POMERANIA;white table salt bagged - per 1kg;PLN;3.0;;0.35;2009-5
LUBUSZ;white table salt bagged - per 1kg;PLN;3.0;;0.0;2012-6
LUBLIN;;PLN;2.0;Hunter's sausage dried - per 1kg;21.98;2014-9
SILESIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.35;2007-10
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;17.37;2009-3
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.84;2009-1
POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.72;2016-4
LESSER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.34;2009-10
PODLASKIE;;PLN;2.0;pork ham cooked - per 1kg;16.42;2000-10
GREATER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.57;2009-9
SUBCARPATHIA;;PLN;2.0;pork belly cooked - per 1kg;14.45;2004-3
OPOLE;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2003-7
SUBCARPATHIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.69;2017-8
SILESIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2000-11
LOWER SILESIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2008-6
WARMIA-MASURIA;;PLN;4.0;bread - per 1kg;;2004-10
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;;2002-3
WEST POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;13.66;2005-4
MASOVIA;;PLN;4.0;Masurian barley groats - per 1kg;2.16;2016-1
OPOLE;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;12.42;2017-12
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;20.34;2015-3
MASOVIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2013-7
LUBUSZ;;PLN;4.0;bread - per 1kg;;2015-1
POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;14.47;2004-4
OPOLE;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2007-8
KUYAVIA-POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.1;2017-11
LESSER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2007-9
SUBCARPATHIA;;PLN;2.0;fresh non-dressed carp - per 1kg;0.0;2000-8
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.63;2007-12
KUYAVIA-POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.24;2019-4
OPOLE;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.2;2006-1
LUBLIN;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.35;2001-3
MASOVIA;;PLN;2.0;dressed chickens - per 1kg;5.11;2006-10
SILESIA;;PLN;2.0;smoked bacon with ribs - per 1kg;14.61;2014-10
PODLASKIE;;PLN;2.0;Hunter's sausage dried - per 1kg;20.43;2011-2
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2010-3
LUBUSZ;natural chocolate plain - per 1kg;PLN;3.0;;8.01;2019-8
ŁÓDŹ;;PLN;4.0;bread - per 1kg;;2004-4
WARMIA-MASURIA;;PLN;2.0;Italian head cheese - per 1kg;8.4;2015-7
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.83;2003-7
LOWER SILESIA;;PLN;2.0;dressed chickens - per 1kg;4.47;2003-3
ŁÓDŹ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.47;2008-12
WARMIA-MASURIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.26;2017-11
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2002-1
SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2015-12
OPOLE;;PLN;2.0;barley groats sausage - per 1kg;4.05;2001-2
WARMIA-MASURIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2017-5
OPOLE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.95;2012-12
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.77;2002-11
WARMIA-MASURIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2006-11
HOLY CROSS;;PLN;2.0;pork  meat (raw bacon) - per 1kg;14.61;2014-9
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2004-3
SILESIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.18;2010-9
SILESIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.2;2013-3
MASOVIA;;PLN;2.0;Italian head cheese - per 1kg;7.71;2008-11
LESSER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2008-5
ŁÓDŹ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2000-10
LUBUSZ;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2016-3
LOWER SILESIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.52;2000-6
GREATER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;14.01;1999-4
POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.13;2002-1
WARMIA-MASURIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.52;2017-4
WEST POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2009-12
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2002-2
WEST POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;0.0;2003-10
LUBUSZ;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2016-6
GREATER POLAND;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;10.6;2012-5
LUBLIN;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2013-6
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;17.16;2002-2
LOWER SILESIA;;PLN;4.0;bread - per 1kg;;2008-7
HOLY CROSS;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-2
WARMIA-MASURIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2001-5
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;1999-4
SILESIA;;PLN;2.0;pork ham cooked - per 1kg;18.09;2017-7
MASOVIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2015-12
WARMIA-MASURIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2016-5
KUYAVIA-POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.49;2019-10
POMERANIA;;PLN;2.0;barley groats sausage - per 1kg;4.49;2001-7
PODLASKIE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;1999-3
WEST POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;11.16;2009-9
ŁÓDŹ;;PLN;2.0;barley groats sausage - per 1kg;7.16;2011-4
WEST POMERANIA;;PLN;4.0;bread - per 1kg;;2018-1
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2015-11
LOWER SILESIA;apple juice, boxed - per 1l;PLN;1.0;;2.28;2000-6
LOWER SILESIA;;PLN;2.0;barley groats sausage - per 1kg;4.13;2003-10
LUBUSZ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.82;2018-8
POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.65;2013-5
MASOVIA;;PLN;4.0;bread - per 1kg;;2014-7
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2011-8
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;26.82;2015-10
SILESIA;;PLN;2.0;pork belly cooked - per 1kg;19.42;2016-5
GREATER POLAND;;PLN;2.0;barley groats sausage - per 1kg;8.62;2018-9
LESSER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;1.41;2016-2
MASOVIA;30% tomato concentrate - per 1kg;PLN;1.0;;9.06;2003-8
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.03;2018-5
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.7;2018-11
KUYAVIA-POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2017-4
WEST POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.22;2011-6
LUBUSZ;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2016-1
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2012-7
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.4;2013-2
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;13.99;2009-2
LUBUSZ;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2008-11
LUBUSZ;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2017-7
SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.08;2007-9
KUYAVIA-POMERANIA;;PLN;4.0;bread - per 1kg;1.82;1999-12
PODLASKIE;;PLN;4.0;Masurian barley groats - per 1kg;1.2;1999-12
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.15;2015-4
WEST POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2007-6
MASOVIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;6.36;2016-1
SUBCARPATHIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2007-8
SUBCARPATHIA;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2015-6
WARMIA-MASURIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;12.42;2014-10
LESSER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2011-7
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2013-10
HOLY CROSS;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2010-7
SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2018-8
ŁÓDŹ;;PLN;2.0;Italian head cheese - per 1kg;6.71;2004-6
HOLY CROSS;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.05;2002-1
OPOLE;;PLN;2.0;Italian head cheese - per 1kg;6.62;2000-4
WEST POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2006-5
MASOVIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2011-7
LUBLIN;beet sugar white, bagged - per 1kg;PLN;3.0;;2.5;2008-12
PODLASKIE;;PLN;2.0;pork  meat (raw bacon) - per 1kg;12.78;2012-8
LESSER POLAND;;PLN;2.0;barley groats sausage - per 1kg;3.88;2003-4
LESSER POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.93;2003-7
ŁÓDŹ;;PLN;4.0;bread - per 1kg;;2012-7
LUBUSZ;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2010-8
LUBLIN;;PLN;2.0;beef with bone (rump steak) - per 1kg;24.99;2013-8
WARMIA-MASURIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2016-9
WEST POMERANIA;;PLN;2.0;dressed chickens - per 1kg;5.15;2000-5
PODLASKIE;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.12;2011-10
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;4.65;2017-12
WARMIA-MASURIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2011-11
OPOLE;;PLN;2.0;fresh non-dressed carp - per 1kg;;2007-8
PODLASKIE;;PLN;4.0;Masurian barley groats - per 1kg;1.55;2019-8
MASOVIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;21.23;2019-3
ŁÓDŹ;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2007-12
KUYAVIA-POMERANIA;white table salt bagged - per 1kg;PLN;3.0;;0.27;2006-11
ŁÓDŹ;natural chocolate plain - per 1kg;PLN;3.0;;13.44;2002-7
SILESIA;white table salt bagged - per 1kg;PLN;3.0;;0.31;2008-10
POLAND;;PLN;4.0;bread - per 1kg;1.81;1999-6
WEST POMERANIA;;PLN;4.0;bread - per 1kg;;2019-11
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2001-9
WARMIA-MASURIA;;PLN;2.0;haddock fillets frozen - per 1kg;18.43;2017-1
KUYAVIA-POMERANIA;;PLN;2.0;Hunter's sausage dried - per 1kg;18.77;2008-8
LESSER POLAND;;PLN;2.0;pork belly cooked - per 1kg;14.17;2019-2
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;24.17;2017-2
POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.69;1999-7
KUYAVIA-POMERANIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;7.22;2002-11
HOLY CROSS;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2009-10
MASOVIA;;PLN;2.0;smoked bacon with ribs - per 1kg;9.94;2003-3
POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;;2003-8
POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;;1999-8
ŁÓDŹ;;PLN;2.0;pork belly cooked - per 1kg;14.78;2000-10
HOLY CROSS;white table salt bagged - per 1kg;PLN;3.0;;0.0;2004-8
MASOVIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;8.2;2003-5
LUBUSZ;;PLN;2.0;fresh non-dressed trout - per 1kg;;2002-2
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;12.14;2001-12
WARMIA-MASURIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.71;2002-10
OPOLE;;PLN;2.0;Italian head cheese - per 1kg;12.58;2016-7
POLAND;;PLN;2.0;pork ham cooked - per 1kg;15.99;1999-9
ŁÓDŹ;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2001-7
LUBUSZ;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2015-2
GREATER POLAND;30% tomato concentrate - per 1kg;PLN;1.0;;8.67;2005-1
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.06;1999-12
OPOLE;white table salt bagged - per 1kg;PLN;3.0;;0.0;2008-7
SUBCARPATHIA;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2010-7
HOLY CROSS;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.45;2015-8
LUBLIN;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.3;2000-6
WEST POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.65;2010-12
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;1999-12
WEST POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;23.63;2018-9
LESSER POLAND;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.85;2005-9
LUBLIN;beet sugar white, bagged - per 1kg;PLN;3.0;;2.35;2008-7
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2015-9
KUYAVIA-POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;13.92;2008-6
SUBCARPATHIA;;PLN;4.0;bread - per 1kg;;2015-5
LESSER POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.66;2004-5
LUBLIN;;PLN;4.0;bread - per 1kg;;2012-10
GREATER POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.0;1999-12
ŁÓDŹ;;PLN;2.0;Italian head cheese - per 1kg;6.71;2000-8
WEST POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;5.03;2016-4
