province;product_types;currency;product_group_id;product_line;value;date
WARMIA-MASURIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.57;2014-10
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2017-3
POMERANIA;;PLN;4.0;Masurian barley groats - per 1kg;1.26;2007-2
ŁÓDŹ;;PLN;2.0;pork ham cooked - per 1kg;17.32;2014-4
HOLY CROSS;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2007-2
KUYAVIA-POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;1.39;2014-9
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;17.43;2008-5
WEST POMERANIA;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2017-2
WARMIA-MASURIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2000-12
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;19.35;2016-10
KUYAVIA-POMERANIA;white table salt bagged - per 1kg;PLN;3.0;;0.4;2012-10
LESSER POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;11.23;2003-10
MASOVIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.53;2010-4
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2001-8
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;26.8;2015-5
MASOVIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2015-8
POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;12.49;2011-4
WEST POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.11;2007-5
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;7.95;2004-4
KUYAVIA-POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;8.83;2010-1
SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2015-1
POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;16.7;2008-10
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2006-8
LESSER POLAND;white table salt bagged - per 1kg;PLN;3.0;;0.4;2008-6
SILESIA;;PLN;4.0;Masurian barley groats - per 1kg;0.93;2019-5
ŁÓDŹ;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.29;2000-2
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;13.46;2004-10
ŁÓDŹ;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.22;2005-11
HOLY CROSS;;PLN;2.0;Backpacker's canned pork meat - per 300 g;3.17;2000-10
SUBCARPATHIA;;PLN;4.0;Masurian barley groats - per 1kg;0.0;2007-8
LUBUSZ;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2003-10
GREATER POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;1999-12
LUBUSZ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.34;2007-1
LESSER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;3.32;2012-6
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2007-3
