province;product_types;currency;product_group_id;product_line;value;date;product;month;year;quarter
LUBLIN;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2003-09-01;haddock fillets frozen - per 1kg;9.0;2003.0;3.0
WEST POMERANIA;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.4;2000-01-01;pork  with bone (center-cut pork chop) - per 1kg;1.0;2000.0;1.0
SUBCARPATHIA;;PLN;2.0;dressed chickens - per 1kg;4.12;2000-06-01;dressed chickens - per 1kg;6.0;2000.0;2.0
PODLASKIE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2005-12-01;Poznan wheat flour, bagged - per 1kg;12.0;2005.0;4.0
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;17.5;2004-02-01;natural chocolate plain - per 1kg;2.0;2004.0;1.0
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.92;1999-05-01;Poznan wheat flour, bagged - per 1kg;5.0;1999.0;2.0
HOLY CROSS;white table salt bagged - per 1kg;PLN;3.0;;0.0;2015-07-01;white table salt bagged - per 1kg;7.0;2015.0;3.0
LESSER POLAND;;PLN;4.0;Masurian barley groats - per 1kg;0.0;1999-05-01;Masurian barley groats - per 1kg;5.0;1999.0;2.0
OPOLE;;PLN;4.0;bread - per 1kg;;2006-04-01;bread - per 1kg;4.0;2006.0;2.0
WEST POMERANIA;;PLN;2.0;salted herring, non-dressed - per 1kg;3.32;1999-09-01;salted herring, non-dressed - per 1kg;9.0;1999.0;3.0
SUBCARPATHIA;;PLN;2.0;dressed chickens - per 1kg;4.92;2006-09-01;dressed chickens - per 1kg;9.0;2006.0;3.0
ŁÓDŹ;beet sugar white, bagged - per 1kg;PLN;3.0;;2.99;2004-09-01;beet sugar white, bagged - per 1kg;9.0;2004.0;3.0
LUBUSZ;;PLN;4.0;bread - per 1kg;;2000-03-01;bread - per 1kg;3.0;2000.0;1.0
LUBLIN;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.46;2018-10-01;plain mixed bread (wheat-rye) - per 1kg;10.0;2018.0;4.0
OPOLE;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.97;2007-05-01;plain mixed bread (wheat-rye) - per 1kg;5.0;2007.0;2.0
LUBLIN;;PLN;2.0;salted herring, non-dressed - per 1kg;1.2;2009-06-01;salted herring, non-dressed - per 1kg;6.0;2009.0;2.0
PODLASKIE;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.42;2005-03-01;frozen carrot and pea mix - per 1kg;3.0;2005.0;1.0
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;21.54;2017-01-01;haddock fillets frozen - per 1kg;1.0;2017.0;1.0
PODLASKIE;;PLN;2.0;dressed chickens - per 1kg;4.69;2000-09-01;dressed chickens - per 1kg;9.0;2000.0;3.0
LOWER SILESIA;;PLN;2.0;salted herring, non-dressed - per 1kg;4.33;1999-02-01;salted herring, non-dressed - per 1kg;2.0;1999.0;1.0
POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.37;2004-06-01;fresh chicken eggs - per 10pcs.;6.0;2004.0;2.0
LUBLIN;beet sugar white, bagged - per 1kg;PLN;3.0;;2.22;2002-04-01;beet sugar white, bagged - per 1kg;4.0;2002.0;2.0
WARMIA-MASURIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;7.73;2000-12-01;pork meat with bone (shoulder) - per 1kg;12.0;2000.0;4.0
WEST POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.62;2015-11-01;plain mixed bread (wheat-rye) - per 1kg;11.0;2015.0;4.0
LUBUSZ;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2004-02-01;30% tomato concentrate - per 1kg;2.0;2004.0;1.0
WEST POMERANIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.48;2012-06-01;fresh chicken eggs - per 10pcs.;6.0;2012.0;2.0
POLAND;;PLN;4.0;bread - per 1kg;;2007-02-01;bread - per 1kg;2.0;2007.0;1.0
POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;29.52;2017-04-01;boneless beef (sirloin) - per 1kg;4.0;2017.0;2.0
LOWER SILESIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;26.13;2017-04-01;beef with bone (rump steak) - per 1kg;4.0;2017.0;2.0
SUBCARPATHIA;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.0;2003-09-01;fresh chicken eggs - per 10pcs.;9.0;2003.0;3.0
LESSER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;1999-02-01;beet sugar white, bagged - per 1kg;2.0;1999.0;1.0
SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.11;2010-10-01;whole pickled cucumbers 0.9l - per 1pc.;10.0;2010.0;4.0
WEST POMERANIA;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2006-02-01;30% tomato concentrate - per 1kg;2.0;2006.0;1.0
KUYAVIA-POMERANIA;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;2.78;2010-10-01;plain mixed bread (wheat-rye) - per 1kg;10.0;2010.0;4.0
WARMIA-MASURIA;;PLN;2.0;fresh non-dressed carp - per 1kg;6.77;2001-10-01;fresh non-dressed carp - per 1kg;10.0;2001.0;4.0
LUBLIN;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2006-04-01;fresh non-dressed trout - per 1kg;4.0;2006.0;2.0
LUBLIN;;PLN;2.0;salted herring, non-dressed - per 1kg;8.59;2013-12-01;salted herring, non-dressed - per 1kg;12.0;2013.0;4.0
LOWER SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;1.7;2018-03-01;beet sugar white, bagged - per 1kg;3.0;2018.0;1.0
KUYAVIA-POMERANIA;;PLN;2.0;haddock fillets frozen - per 1kg;14.92;2012-03-01;haddock fillets frozen - per 1kg;3.0;2012.0;1.0
PODLASKIE;frozen carrot and pea mix - per 1kg;EUR;1.0;;3.15;2007-10-01;frozen carrot and pea mix - per 1kg;10.0;2007.0;4.0
LOWER SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.1;2010-11-01;Poznan wheat flour, bagged - per 1kg;11.0;2010.0;4.0
LUBLIN;natural chocolate plain - per 1kg;PLN;3.0;;13.28;2001-05-01;natural chocolate plain - per 1kg;5.0;2001.0;2.0
OPOLE;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;0.0;2018-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2018.0;4.0
WARMIA-MASURIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2016-07-01;buckwheat groats roasted whole - per 1kg;7.0;2016.0;3.0
POMERANIA;;PLN;2.0;fresh non-dressed trout - per 1kg;10.83;2010-01-01;fresh non-dressed trout - per 1kg;1.0;2010.0;1.0
LUBLIN;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;3.04;2011-05-01;plain mixed bread (wheat-rye) - per 1kg;5.0;2011.0;2.0
WEST POMERANIA;;PLN;2.0;dressed chickens - per 1kg;7.26;2010-12-01;dressed chickens - per 1kg;12.0;2010.0;4.0
LUBLIN;apple juice, boxed - per 1l;PLN;1.0;;0.0;2014-10-01;apple juice, boxed - per 1l;10.0;2014.0;4.0
WEST POMERANIA;;PLN;2.0;salted herring, non-dressed - per 1kg;6.24;2005-02-01;salted herring, non-dressed - per 1kg;2.0;2005.0;1.0
GREATER POLAND;;PLN;2.0;Italian head cheese - per 1kg;11.31;2017-06-01;Italian head cheese - per 1kg;6.0;2017.0;2.0
GREATER POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;15.15;2005-04-01;beef with bone (rump steak) - per 1kg;4.0;2005.0;2.0
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;15.3;2015-08-01;natural chocolate plain - per 1kg;8.0;2015.0;3.0
LESSER POLAND;;PLN;2.0;pork ham cooked - per 1kg;15.11;2004-05-01;pork ham cooked - per 1kg;5.0;2004.0;2.0
POMERANIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2006-07-01;buckwheat groats roasted whole - per 1kg;7.0;2006.0;3.0
POMERANIA;;PLN;2.0;dressed chickens - per 1kg;5.13;2019-08-01;dressed chickens - per 1kg;8.0;2019.0;3.0
PODLASKIE;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2000-11-01;salted herring, non-dressed - per 1kg;11.0;2000.0;4.0
MASOVIA;;PLN;2.0;salted herring, non-dressed - per 1kg;0.0;2001-04-01;salted herring, non-dressed - per 1kg;4.0;2001.0;2.0
WARMIA-MASURIA;;PLN;2.0;dressed chickens - per 1kg;4.36;1999-02-01;dressed chickens - per 1kg;2.0;1999.0;1.0
POLAND;;PLN;4.0;bread - per 1kg;;2009-10-01;bread - per 1kg;10.0;2009.0;4.0
LESSER POLAND;natural chocolate plain - per 1kg;PLN;3.0;;5.2;2010-06-01;natural chocolate plain - per 1kg;6.0;2010.0;2.0
POLAND;;PLN;2.0;pork  meat (raw bacon) - per 1kg;7.76;2000-02-01;pork  meat (raw bacon) - per 1kg;2.0;2000.0;1.0
SILESIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2011-06-01;Poznan wheat flour, bagged - per 1kg;6.0;2011.0;2.0
PODLASKIE;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2014-12-01;haddock fillets frozen - per 1kg;12.0;2014.0;4.0
HOLY CROSS;;PLN;4.0;Masurian barley groats - per 1kg;1.49;2000-02-01;Masurian barley groats - per 1kg;2.0;2000.0;1.0
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2006-11-01;natural chocolate plain - per 1kg;11.0;2006.0;4.0
OPOLE;;PLN;2.0;dressed chickens - per 1kg;5.6;2007-12-01;dressed chickens - per 1kg;12.0;2007.0;4.0
POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;14.02;2018-06-01;fresh non-dressed trout - per 1kg;6.0;2018.0;2.0
MASOVIA;;PLN;2.0;dressed chickens - per 1kg;4.5;2004-08-01;dressed chickens - per 1kg;8.0;2004.0;3.0
POLAND;;PLN;4.0;bread - per 1kg;;2010-11-01;bread - per 1kg;11.0;2010.0;4.0
POLAND;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;14.31;2017-02-01;pork  with bone (center-cut pork chop) - per 1kg;2.0;2017.0;1.0
POLAND;;PLN;2.0;barley groats sausage - per 1kg;7.6;2016-01-01;barley groats sausage - per 1kg;1.0;2016.0;1.0
POMERANIA;;PLN;4.0;bread - per 1kg;;2008-10-01;bread - per 1kg;10.0;2008.0;4.0
POLAND;;PLN;4.0;buckwheat groats roasted whole - per 1kg;3.08;2001-05-01;buckwheat groats roasted whole - per 1kg;5.0;2001.0;2.0
GREATER POLAND;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;4.64;2019-08-01;plain mixed bread (wheat-rye) - per 1kg;8.0;2019.0;3.0
KUYAVIA-POMERANIA;;PLN;2.0;pork ham cooked - per 1kg;15.14;2007-10-01;pork ham cooked - per 1kg;10.0;2007.0;4.0
OPOLE;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.07;2000-03-01;pork  with bone (center-cut pork chop) - per 1kg;3.0;2000.0;1.0
LUBLIN;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.81;2003-10-01;Poznan wheat flour, bagged - per 1kg;10.0;2003.0;4.0
WARMIA-MASURIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;2.43;2016-12-01;frozen carrot and pea mix - per 1kg;12.0;2016.0;4.0
KUYAVIA-POMERANIA;;PLN;2.0;Hunter's sausage dried - per 1kg;22.72;2013-07-01;Hunter's sausage dried - per 1kg;7.0;2013.0;3.0
SUBCARPATHIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2018-10-01;white table salt bagged - per 1kg;10.0;2018.0;4.0
WARMIA-MASURIA;;PLN;2.0;salted herring, non-dressed - per 1kg;8.22;2011-10-01;salted herring, non-dressed - per 1kg;10.0;2011.0;4.0
PODLASKIE;;PLN;2.0;boneless beef (sirloin) - per 1kg;11.02;1999-12-01;boneless beef (sirloin) - per 1kg;12.0;1999.0;4.0
POLAND;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.74;2008-09-01;whole pickled cucumbers 0.9l - per 1pc.;9.0;2008.0;3.0
LUBLIN;;PLN;2.0;Hunter's sausage dried - per 1kg;21.52;2015-03-01;Hunter's sausage dried - per 1kg;3.0;2015.0;1.0
OPOLE;;PLN;2.0;boneless beef (sirloin) - per 1kg;14.17;2002-08-01;boneless beef (sirloin) - per 1kg;8.0;2002.0;3.0
LUBUSZ;;PLN;4.0;plain mixed bread (wheat-rye) - per 1kg;;1999-06-01;plain mixed bread (wheat-rye) - per 1kg;6.0;1999.0;2.0
LUBUSZ;;PLN;2.0;dressed chickens - per 1kg;6.47;2016-12-01;dressed chickens - per 1kg;12.0;2016.0;4.0
SILESIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.91;2011-04-01;whole pickled cucumbers 0.9l - per 1pc.;4.0;2011.0;2.0
OPOLE;;PLN;2.0;boneless beef (sirloin) - per 1kg;31.56;2014-08-01;boneless beef (sirloin) - per 1kg;8.0;2014.0;3.0
GREATER POLAND;;PLN;2.0;salted herring, non-dressed - per 1kg;4.89;2003-01-01;salted herring, non-dressed - per 1kg;1.0;2003.0;1.0
POLAND;;PLN;2.0;beef with bone (rump steak) - per 1kg;13.85;2004-09-01;beef with bone (rump steak) - per 1kg;9.0;2004.0;3.0
POMERANIA;white table salt bagged - per 1kg;PLN;3.0;;0.0;2016-11-01;white table salt bagged - per 1kg;11.0;2016.0;4.0
LUBLIN;;PLN;2.0;dressed chickens - per 1kg;5.75;2008-06-01;dressed chickens - per 1kg;6.0;2008.0;2.0
POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;;1999-05-01;fresh non-dressed trout - per 1kg;5.0;1999.0;2.0
POMERANIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.18;2000-10-01;Poznan wheat flour, bagged - per 1kg;10.0;2000.0;4.0
WEST POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;31.35;2016-09-01;boneless beef (sirloin) - per 1kg;9.0;2016.0;3.0
LUBLIN;;PLN;2.0;Italian head cheese - per 1kg;11.01;2017-12-01;Italian head cheese - per 1kg;12.0;2017.0;4.0
MASOVIA;;PLN;2.0;salted herring, non-dressed - per 1kg;5.06;2017-09-01;salted herring, non-dressed - per 1kg;9.0;2017.0;3.0
PODLASKIE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2015-11-01;Poznan wheat flour, bagged - per 1kg;11.0;2015.0;4.0
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2016-04-01;30% tomato concentrate - per 1kg;4.0;2016.0;2.0
LOWER SILESIA;;PLN;2.0;fresh non-dressed trout - per 1kg;;2001-01-01;fresh non-dressed trout - per 1kg;1.0;2001.0;1.0
HOLY CROSS;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2005-07-01;Poznan wheat flour, bagged - per 1kg;7.0;2005.0;3.0
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.58;2012-12-01;whole pickled cucumbers 0.9l - per 1pc.;12.0;2012.0;4.0
PODLASKIE;;PLN;2.0;barley groats sausage - per 1kg;4.18;2000-11-01;barley groats sausage - per 1kg;11.0;2000.0;4.0
ŁÓDŹ;;PLN;4.0;buckwheat groats roasted whole - per 1kg;0.0;2000-08-01;buckwheat groats roasted whole - per 1kg;8.0;2000.0;3.0
LUBLIN;apple juice, boxed - per 1l;PLN;1.0;;0.0;2006-07-01;apple juice, boxed - per 1l;7.0;2006.0;3.0
POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;;2016-04-01;fresh non-dressed carp - per 1kg;4.0;2016.0;2.0
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;12.34;2004-02-01;beef with bone (rump steak) - per 1kg;2.0;2004.0;1.0
POMERANIA;;PLN;4.0;bread - per 1kg;;2003-06-01;bread - per 1kg;6.0;2003.0;2.0
GREATER POLAND;;PLN;2.0;Hunter's sausage dried - per 1kg;22.6;2018-08-01;Hunter's sausage dried - per 1kg;8.0;2018.0;3.0
GREATER POLAND;;PLN;2.0;Italian head cheese - per 1kg;8.36;2009-01-01;Italian head cheese - per 1kg;1.0;2009.0;1.0
POLAND;;PLN;4.0;bread - per 1kg;;2003-12-01;bread - per 1kg;12.0;2003.0;4.0
WARMIA-MASURIA;;PLN;2.0;pork ham cooked - per 1kg;18.9;2012-12-01;pork ham cooked - per 1kg;12.0;2012.0;4.0
PODLASKIE;;PLN;2.0;beef with bone (rump steak) - per 1kg;20.9;2014-06-01;beef with bone (rump steak) - per 1kg;6.0;2014.0;2.0
OPOLE;;PLN;2.0;Backpacker's canned pork meat - per 300 g;0.0;2011-11-01;Backpacker's canned pork meat - per 300 g;11.0;2011.0;4.0
SUBCARPATHIA;;PLN;2.0;fresh non-dressed trout - per 1kg;0.0;2005-12-01;fresh non-dressed trout - per 1kg;12.0;2005.0;4.0
ŁÓDŹ;;PLN;2.0;beef with bone (rump steak) - per 1kg;21.73;2012-02-01;beef with bone (rump steak) - per 1kg;2.0;2012.0;1.0
WARMIA-MASURIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2007-08-01;natural chocolate plain - per 1kg;8.0;2007.0;3.0
MASOVIA;;PLN;2.0;Italian head cheese - per 1kg;6.69;2003-11-01;Italian head cheese - per 1kg;11.0;2003.0;4.0
KUYAVIA-POMERANIA;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.28;1999-12-01;whole pickled cucumbers 0.9l - per 1pc.;12.0;1999.0;4.0
SUBCARPATHIA;apple juice, boxed - per 1l;PLN;1.0;;0.0;2001-03-01;apple juice, boxed - per 1l;3.0;2001.0;1.0
WARMIA-MASURIA;;PLN;2.0;Italian head cheese - per 1kg;7.22;2009-08-01;Italian head cheese - per 1kg;8.0;2009.0;3.0
POMERANIA;;PLN;2.0;dressed chickens - per 1kg;5.15;2004-01-01;dressed chickens - per 1kg;1.0;2004.0;1.0
WEST POMERANIA;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2014-06-01;beet sugar white, bagged - per 1kg;6.0;2014.0;2.0
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.68;2005-07-01;Poznan wheat flour, bagged - per 1kg;7.0;2005.0;3.0
HOLY CROSS;;PLN;2.0;pork  with bone (center-cut pork chop) - per 1kg;12.71;2000-11-01;pork  with bone (center-cut pork chop) - per 1kg;11.0;2000.0;4.0
WARMIA-MASURIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2002-01-01;Poznan wheat flour, bagged - per 1kg;1.0;2002.0;1.0
POLAND;;PLN;2.0;dressed chickens - per 1kg;5.48;2009-07-01;dressed chickens - per 1kg;7.0;2009.0;3.0
KUYAVIA-POMERANIA;;PLN;2.0;boneless beef (sirloin) - per 1kg;22.3;2008-10-01;boneless beef (sirloin) - per 1kg;10.0;2008.0;4.0
KUYAVIA-POMERANIA;natural chocolate plain - per 1kg;PLN;3.0;;4.55;2004-12-01;natural chocolate plain - per 1kg;12.0;2004.0;4.0
MASOVIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;8.94;2019-08-01;pork meat with bone (shoulder) - per 1kg;8.0;2019.0;3.0
GREATER POLAND;;PLN;2.0;haddock fillets frozen - per 1kg;8.62;2004-01-01;haddock fillets frozen - per 1kg;1.0;2004.0;1.0
SILESIA;;PLN;2.0;pork belly cooked - per 1kg;13.36;2006-12-01;pork belly cooked - per 1kg;12.0;2006.0;4.0
OPOLE;;PLN;2.0;beef with bone (rump steak) - per 1kg;16.48;2007-08-01;beef with bone (rump steak) - per 1kg;8.0;2007.0;3.0
WARMIA-MASURIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;13.51;2003-12-01;beef with bone (rump steak) - per 1kg;12.0;2003.0;4.0
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2008-10-01;30% tomato concentrate - per 1kg;10.0;2008.0;4.0
GREATER POLAND;;PLN;4.0;bread - per 1kg;;2005-02-01;bread - per 1kg;2.0;2005.0;1.0
LUBUSZ;;PLN;4.0;Masurian barley groats - per 1kg;0.83;2000-11-01;Masurian barley groats - per 1kg;11.0;2000.0;4.0
ŁÓDŹ;;PLN;2.0;pork ham cooked - per 1kg;16.42;2010-06-01;pork ham cooked - per 1kg;6.0;2010.0;2.0
LESSER POLAND;;PLN;2.0;pork belly cooked - per 1kg;14.66;2001-06-01;pork belly cooked - per 1kg;6.0;2001.0;2.0
HOLY CROSS;;PLN;2.0;fresh non-dressed carp - per 1kg;;2004-07-01;fresh non-dressed carp - per 1kg;7.0;2004.0;3.0
PODLASKIE;;PLN;2.0;barley groats sausage - per 1kg;3.88;1999-03-01;barley groats sausage - per 1kg;3.0;1999.0;1.0
POLAND;;PLN;2.0;pork ham cooked - per 1kg;14.54;2006-05-01;pork ham cooked - per 1kg;5.0;2006.0;2.0
WARMIA-MASURIA;;PLN;2.0;pork belly cooked - per 1kg;17.77;2014-12-01;pork belly cooked - per 1kg;12.0;2014.0;4.0
PODLASKIE;;PLN;2.0;boneless beef (sirloin) - per 1kg;29.94;2013-12-01;boneless beef (sirloin) - per 1kg;12.0;2013.0;4.0
LOWER SILESIA;;PLN;2.0;pork  meat (raw bacon) - per 1kg;9.42;2007-12-01;pork  meat (raw bacon) - per 1kg;12.0;2007.0;4.0
POLAND;;PLN;2.0;pork ham cooked - per 1kg;16.27;2002-09-01;pork ham cooked - per 1kg;9.0;2002.0;3.0
GREATER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;2.28;2000-02-01;beet sugar white, bagged - per 1kg;2.0;2000.0;1.0
LUBLIN;;PLN;2.0;fresh non-dressed carp - per 1kg;7.18;2001-08-01;fresh non-dressed carp - per 1kg;8.0;2001.0;3.0
GREATER POLAND;;PLN;2.0;fresh non-dressed trout - per 1kg;9.88;2004-01-01;fresh non-dressed trout - per 1kg;1.0;2004.0;1.0
POMERANIA;;PLN;2.0;fresh non-dressed carp - per 1kg;8.21;1999-02-01;fresh non-dressed carp - per 1kg;2.0;1999.0;1.0
SILESIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;12.0;2013-11-01;pork meat with bone (shoulder) - per 1kg;11.0;2013.0;4.0
SILESIA;beet sugar white, bagged - per 1kg;PLN;3.0;;2.1;2002-08-01;beet sugar white, bagged - per 1kg;8.0;2002.0;3.0
OPOLE;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;0.0;2003-01-01;Poznan wheat flour, bagged - per 1kg;1.0;2003.0;1.0
LUBLIN;;PLN;2.0;fresh non-dressed carp - per 1kg;;2005-04-01;fresh non-dressed carp - per 1kg;4.0;2005.0;2.0
POMERANIA;;PLN;2.0;Italian head cheese - per 1kg;6.06;2003-10-01;Italian head cheese - per 1kg;10.0;2003.0;4.0
WEST POMERANIA;;PLN;2.0;beef with bone (rump steak) - per 1kg;9.46;2002-07-01;beef with bone (rump steak) - per 1kg;7.0;2002.0;3.0
LUBLIN;30% tomato concentrate - per 1kg;PLN;1.0;;0.0;2003-04-01;30% tomato concentrate - per 1kg;4.0;2003.0;2.0
PODLASKIE;;PLN;2.0;smoked bacon with ribs - per 1kg;16.42;2012-02-01;smoked bacon with ribs - per 1kg;2.0;2012.0;1.0
SUBCARPATHIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2012-01-01;natural chocolate plain - per 1kg;1.0;2012.0;1.0
HOLY CROSS;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;3.45;2009-07-01;whole pickled cucumbers 0.9l - per 1pc.;7.0;2009.0;3.0
SILESIA;;PLN;2.0;smoked bacon with ribs - per 1kg;11.33;2019-12-01;smoked bacon with ribs - per 1kg;12.0;2019.0;4.0
ŁÓDŹ;apple juice, boxed - per 1l;PLN;1.0;;1.66;2009-11-01;apple juice, boxed - per 1l;11.0;2009.0;4.0
WEST POMERANIA;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.0;2012-08-01;frozen carrot and pea mix - per 1kg;8.0;2012.0;3.0
SUBCARPATHIA;;PLN;4.0;buckwheat groats roasted whole - per 1kg;1.69;2019-10-01;buckwheat groats roasted whole - per 1kg;10.0;2019.0;4.0
SUBCARPATHIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.98;2010-08-01;pork meat with bone (shoulder) - per 1kg;8.0;2010.0;3.0
PODLASKIE;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2003-09-01;natural chocolate plain - per 1kg;9.0;2003.0;3.0
MASOVIA;;PLN;2.0;pork ham cooked - per 1kg;18.69;2017-06-01;pork ham cooked - per 1kg;6.0;2017.0;2.0
GREATER POLAND;;PLN;2.0;barley groats sausage - per 1kg;8.04;2013-10-01;barley groats sausage - per 1kg;10.0;2013.0;4.0
LUBUSZ;;PLN;4.0;bread - per 1kg;;2014-11-01;bread - per 1kg;11.0;2014.0;4.0
ŁÓDŹ;;PLN;2.0;Italian head cheese - per 1kg;8.49;2009-08-01;Italian head cheese - per 1kg;8.0;2009.0;3.0
POMERANIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;9.22;2004-12-01;pork meat with bone (shoulder) - per 1kg;12.0;2004.0;4.0
LESSER POLAND;beet sugar white, bagged - per 1kg;PLN;3.0;;0.0;2007-04-01;beet sugar white, bagged - per 1kg;4.0;2007.0;2.0
MASOVIA;;PLN;2.0;salted herring, non-dressed - per 1kg;5.56;2006-09-01;salted herring, non-dressed - per 1kg;9.0;2006.0;3.0
LESSER POLAND;fresh chicken eggs - per 10pcs.;PLN;3.0;;0.3;2017-08-01;fresh chicken eggs - per 10pcs.;8.0;2017.0;3.0
HOLY CROSS;;PLN;4.0;bread - per 1kg;;2006-03-01;bread - per 1kg;3.0;2006.0;1.0
GREATER POLAND;frozen carrot and pea mix - per 1kg;EUR;1.0;;4.16;2008-12-01;frozen carrot and pea mix - per 1kg;12.0;2008.0;4.0
ŁÓDŹ;;PLN;4.0;bread - per 1kg;;2013-11-01;bread - per 1kg;11.0;2013.0;4.0
PODLASKIE;frozen carrot and pea mix - per 1kg;EUR;1.0;;0.2099999999999999;2003-10-01;frozen carrot and pea mix - per 1kg;10.0;2003.0;4.0
GREATER POLAND;;PLN;2.0;Backpacker's canned pork meat - per 300 g;2.54;2019-09-01;Backpacker's canned pork meat - per 300 g;9.0;2019.0;3.0
SUBCARPATHIA;;PLN;4.0;Poznan wheat flour, bagged - per 1kg;1.01;2007-08-01;Poznan wheat flour, bagged - per 1kg;8.0;2007.0;3.0
SUBCARPATHIA;;PLN;2.0;pork meat with bone (shoulder) - per 1kg;12.42;2015-10-01;pork meat with bone (shoulder) - per 1kg;10.0;2015.0;4.0
SILESIA;natural chocolate plain - per 1kg;PLN;3.0;;0.0;2008-02-01;natural chocolate plain - per 1kg;2.0;2008.0;1.0
LUBLIN;;PLN;2.0;fresh non-dressed carp - per 1kg;;2016-09-01;fresh non-dressed carp - per 1kg;9.0;2016.0;3.0
LOWER SILESIA;;PLN;2.0;haddock fillets frozen - per 1kg;0.0;2007-01-01;haddock fillets frozen - per 1kg;1.0;2007.0;1.0
ŁÓDŹ;whole pickled cucumbers 0.9l - per 1pc.;PLN;1.0;;2.51;2013-11-01;whole pickled cucumbers 0.9l - per 1pc.;11.0;2013.0;4.0
POMERANIA;;PLN;2.0;pork belly cooked - per 1kg;16.55;2013-10-01;pork belly cooked - per 1kg;10.0;2013.0;4.0
